Code,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Body
,,,,,,,,,
9118001,Académie Scientifique de Beauté,Fond de teint soin,Fond de Teint Soin Régénérant,Ivoire 01,43,Yes,https://www.academiebeaute.com/products/fond-de-teint-regenerant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_fond_de_teint_soin_regenerant_01Ivoire.png?v=1666079183,<p>L'efficacité d'un soin et la couvrance d'un fond de teint.</p>
,,,,,,,,,
9118002,Académie Scientifique de Beauté,Fond de teint soin,Fond de Teint Soin Régénérant,Miel 02,43,Yes,https://www.academiebeaute.com/products/fond-de-teint-regenerant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/fdt-02.jpg?v=1669130566,<p>L'efficacité d'un soin et la couvrance d'un fond de teint.</p>
,,,,,,,,,
9118003,Académie Scientifique de Beauté,Fond de teint soin,Fond de Teint Soin Régénérant,Cannelle 03,43,Yes,https://www.academiebeaute.com/products/fond-de-teint-regenerant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/fdt-03.jpg?v=1669130566,<p>L'efficacité d'un soin et la couvrance d'un fond de teint.</p>
,,,,,,,,,
9118004,Académie Scientifique de Beauté,Fond de teint soin,Fond de Teint Soin Régénérant,Noisette 04,43,Yes,https://www.academiebeaute.com/products/fond-de-teint-regenerant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/fdt-04.jpg?v=1669130566,<p>L'efficacité d'un soin et la couvrance d'un fond de teint.</p>
,,,,,,,,,
9118005,Académie Scientifique de Beauté,Fond de teint soin,Fond de Teint Soin Régénérant,Moka 05,43,Yes,https://www.academiebeaute.com/products/fond-de-teint-regenerant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/fdt-05.jpg?v=1669130566,<p>L'efficacité d'un soin et la couvrance d'un fond de teint.</p>
,,,,,,,,,
